product_id,product_name,category,price,stock_quantity,supplier
1,Cloned bi-directional circuit,Automotive,300.23,162,Summers Ltd
2,Monitored upward-trending groupware,Books,626.51,251,Bishop and Sons
3,Advanced empowering leverage,Toys,396.81,493,"Owen, Simpson and Murray"
4,Public-key bi-directional policy,Sports,223.71,76,Turner-Evans
5,Automated 6thgeneration product,Toys,762.94,255,"Tucker, Roberts and Gonzalez"
6,Reactive multi-state throughput,Sports,434.58,19,"Hart, Golden and Curtis"
7,Open-source zero tolerance Internet solution,Sports,992.14,490,White-Cummings
8,Programmable client-driven process improvement,Automotive,482.57,243,"Hamilton, Cooper and Copeland"
9,Reduced systematic utilization,Automotive,134.34,35,Davis-Johnson
10,Extended even-keeled open system,Sports,620.57,162,Gonzalez-Patterson
11,Re-engineered homogeneous framework,Books,834.91,428,"Fowler, Pitts and Scott"
12,Up-sized disintermediate strategy,Books,232.85,275,Graham PLC
13,User-friendly bottom-line algorithm,Toys,432.31,46,"Bradley, Williams and Rosario"
14,Realigned actuating paradigm,Automotive,118.73,27,Banks Group
15,Multi-layered tangible task-force,Toys,649.56,423,Cantrell LLC
16,Programmable hybrid database,Electronics,989.6,353,"Lynn, Nichols and Miller"
17,Devolved transitional data-warehouse,Clothing,255.9,260,Roberson-Meyer
18,Decentralized executive pricing structure,Sports,195.32,46,"Chambers, Stewart and Eaton"
19,Multi-layered modular product,Books,580.41,18,Oliver Ltd
20,Synergized coherent interface,Sports,590.72,18,Clark-Bradshaw
21,Up-sized next generation moderator,Home & Garden,154.92,149,"Warren, Buchanan and Johnson"
22,Balanced modular analyzer,Automotive,662.65,291,Williams Ltd
23,Exclusive well-modulated firmware,Home & Garden,649.54,389,Erickson and Sons
24,Public-key multimedia algorithm,Books,943.11,395,"Barber, Arnold and Brown"
25,Down-sized responsive archive,Toys,858.31,410,"Thomas, Johnson and Greene"
26,Polarized stable superstructure,Electronics,24.64,285,Thompson-Mcintosh
27,Organic dedicated Internet solution,Electronics,854.5,129,"Adams, Lewis and Martin"
28,Mandatory needs-based moderator,Clothing,616.63,491,"Ramos, Hubbard and Wong"
29,De-engineered methodical access,Toys,635.16,439,Barnes Inc
30,Monitored regional productivity,Books,346.64,357,Miller PLC
